endTime,artistName,trackName,msPlayed
2021-12-20 08:49,Yu-Peng Chen,Interwoven Nostalgia,2325
2021-12-20 08:50,Yu-Peng Chen,Where the Shirasagi Dances,2517
2021-12-20 08:50,Yu-Peng Chen,Preparation of Matsuri,2261
2021-12-20 08:50,Yu-Peng Chen,A Harmonious Rest,2453
2021-12-20 08:50,Yu-Peng Chen,Shirasagi's Demeanor,3775
2021-12-20 08:50,Yu-Peng Chen,Silent Testimony,4800
2021-12-20 08:50,Yu-Peng Chen,Remaining Tenderness,2666
2021-12-20 08:50,Yu-Peng Chen,Scarred Island,8298
2021-12-20 08:50,Yu-Peng Chen,Murmuring Creek,2858
2021-12-20 08:50,Yu-Peng Chen,Island of Hanabi,2645
2021-12-20 08:50,Yu-Peng Chen,Hakushin's Lullaby,3861
2021-12-20 08:50,Yu-Peng Chen,Where the Heart Settles,4010
2021-12-20 08:50,Yu-Peng Chen,Soul of Soulless Conditions,2410
2021-12-20 08:50,Yu-Peng Chen,A Night Watch,4288
2021-12-20 08:50,Yu-Peng Chen,Valor & Prowess,2431
2021-12-20 08:50,Yu-Peng Chen,Miko's Night,1920
2021-12-20 08:50,Yu-Peng Chen,Samurai's Sorrow,1941
2021-12-20 08:51,Yu-Peng Chen,Shadow of War,1386
2021-12-20 08:51,Yu-Peng Chen,Ones Who Strive to Live,8746
2021-12-20 08:51,Yu-Peng Chen,Nothing but Ivy,1813
2021-12-20 08:51,Yu-Peng Chen,The Lost Mound,10389
2021-12-20 08:51,Yu-Peng Chen,Fortification of Resistance,1813
2021-12-20 08:51,Yu-Peng Chen,Dirge of the Soundless,2112
2021-12-20 08:51,Yu-Peng Chen,Unwavering March,3562
2021-12-20 08:51,Yu-Peng Chen,Another Conflict Incoming,2687
2021-12-20 08:51,Yu-Peng Chen,Resounding of Silence,8405
2021-12-20 08:51,Yu-Peng Chen,Caress of the Spirit,8810
2021-12-20 08:51,Yu-Peng Chen,You Shall Not Tempt It,12330
2021-12-20 08:52,Yu-Peng Chen,Orobashi's Teaching,2858
2021-12-20 08:52,Yu-Peng Chen,Serpent's Tragedy,2901
2021-12-20 08:52,Yu-Peng Chen,Overlord of the Thunderstorm,5674
2021-12-20 08:52,Yu-Peng Chen,Stranded Wish,4373
2021-12-20 08:52,Yu-Peng Chen,Whispering Tatarigami,5034
2021-12-20 08:52,Yu-Peng Chen,Forgotten Epic,2560
2021-12-20 08:52,Yu-Peng Chen,A Hollowed Skull,4074
2021-12-20 08:52,Yu-Peng Chen,Against the Invisible Net,1557
2021-12-20 08:52,Yu-Peng Chen,Busy Silhouettes,2666
2021-12-20 08:52,Yu-Peng Chen,Embrace of Sea Waves,2602
2021-12-20 08:52,Yu-Peng Chen,Duel in the Mist,1706
2021-12-20 08:52,Yu-Peng Chen,Fiery Pursuit,2090
2021-12-20 14:30,Yu-Peng Chen,Ripples of Daydream,83377
2021-12-20 14:31,Yu-Peng Chen,Tender Strength,82755
2021-12-20 14:44,Yu-Peng Chen,Forlorn Child of Archaic Winds (Dvalin's Nest),199354
2021-12-20 14:46,Yu-Peng Chen,Moonlike Smile,77958
2021-12-20 14:47,Yu-Peng Chen,Reminiscence - Genshin Impact Main Theme Var.,95000
2021-12-20 14:48,Yu-Peng Chen,A Transparent Moon (Liuli Pavilion),58286
2021-12-20 14:50,Yu-Peng Chen,Say My Name,111935
2021-12-20 14:52,Yu-Peng Chen,Twilight Serenity - Genshin Impact Main Theme Var.,101554
2021-12-20 14:53,Yu-Peng Chen,Snow-Buried Tales,91984
2021-12-20 14:55,Yu-Peng Chen,Lovers' Oath,79610
2021-12-20 14:56,Yu-Peng Chen,Dusk in Mondstadt,108770
2021-12-20 14:59,Yu-Peng Chen,Vast and Blue,142934
2021-12-20 15:00,Yu-Peng Chen,"A Storm, A Spire, and A Sanctum (Dvalin's Nest)",59655
2021-12-20 16:04,Yu-Peng Chen,Moonlike Smile,1578
2021-12-20 16:04,Yu-Peng Chen,Unfinished Frescoes,789
2021-12-20 16:05,Yu-Peng Chen,Ripples of Daydream,1950
2021-12-20 16:05,Yu-Peng Chen,Snow-Buried Tales,4481
2021-12-20 16:05,Yu-Peng Chen,Once-Colored Memories,3250
2021-12-20 16:05,Yu-Peng Chen,Remembrance - Genshin Impact Main Theme Var.,2739
2021-12-20 16:05,Yu-Peng Chen,Tender Strength,5131
2021-12-20 16:33,Yu-Peng Chen,Forlorn Child of Archaic Winds (Dvalin's Nest),3668
2021-12-21 04:56,Xiao Zhan,[Theme Song] Wu Ji - Chorus Edition,121514
2021-12-21 07:44,Yu-Peng Chen,Hanachirusato,94066
2021-12-21 07:46,Yu-Peng Chen,Say My Name,111935
2021-12-21 07:47,Yu-Peng Chen,Moonlike Smile,77958
2021-12-21 07:49,Yu-Peng Chen,Tender Strength,82755
2021-12-21 07:51,Yu-Peng Chen,Another Hopeful Tomorrow,85783
2021-12-21 07:52,Yu-Peng Chen,Ripples of Daydream,83377
2021-12-21 14:03,Yu-Peng Chen,Vast and Blue,12674
2021-12-21 15:20,Yu-Peng Chen,Tender Strength,9749
2021-12-21 15:20,Yu-Peng Chen,Fiery Pursuit,1557
2021-12-21 15:21,Yu-Peng Chen,Orobashi's Teaching,2496
2021-12-21 15:21,Yu-Peng Chen,Serpent's Tragedy,3157
2021-12-21 15:21,Yu-Peng Chen,Overlord of the Thunderstorm,2176
2021-12-21 15:21,Yu-Peng Chen,Stranded Wish,1429
2021-12-21 15:21,Yu-Peng Chen,Caress of the Spirit,10005
2021-12-21 15:21,Yu-Peng Chen,Whispering Tatarigami,2431
2021-12-21 15:21,Yu-Peng Chen,Forgotten Epic,2538
2021-12-21 15:21,Yu-Peng Chen,A Hollowed Skull,981
2021-12-21 15:21,Yu-Peng Chen,Against the Invisible Net,2261
2021-12-21 15:21,Yu-Peng Chen,Busy Silhouettes,6911
2021-12-21 15:21,Yu-Peng Chen,Embrace of Sea Waves,4266
2021-12-21 15:21,Yu-Peng Chen,Duel in the Mist,1237
2021-12-21 20:02,Mariah Carey,All I Want for Christmas Is You,6016
2021-12-23 08:33,Yu-Peng Chen,Forlorn Child of Archaic Winds (Dvalin's Nest),199354
2021-12-23 08:33,Yu-Peng Chen,Duel in the Mist,14118
2021-12-23 08:34,Yu-Peng Chen,Moonlike Smile,77958
2021-12-23 08:37,Yu-Peng Chen,"A Storm, A Spire, and A Sanctum (Dvalin's Nest)",204268
2021-12-23 08:40,Yu-Peng Chen,Fragile Fantasy,120900
2021-12-23 08:41,Yu-Peng Chen,Reminiscence - Genshin Impact Main Theme Var.,95000
2021-12-23 08:43,Yu-Peng Chen,Dusk in Mondstadt,108770
2021-12-23 08:44,Yu-Peng Chen,Another Hopeful Tomorrow,85783
2021-12-23 08:46,Yu-Peng Chen,Hanachirusato,94066
2021-12-23 08:48,Yu-Peng Chen,A New Day with Hope,103237
2021-12-23 08:51,Yu-Peng Chen,Forsaken Child of Ancient Times (Dvalin's Nest),175000
2021-12-23 08:52,Yu-Peng Chen,Say My Name,111935
2021-12-23 08:53,Yu-Peng Chen,A Transparent Moon (Liuli Pavilion),58286
2021-12-23 08:55,Yu-Peng Chen,Lovers' Oath,79610
2021-12-23 08:58,Yu-Peng Chen,Forlorn Child of Archaic Winds (Dvalin's Nest),199354
2021-12-23 09:01,Yu-Peng Chen,Vast and Blue,142934
2021-12-23 09:02,Yu-Peng Chen,Snow-Buried Tales,91984
2021-12-23 09:03,Yu-Peng Chen,Tender Strength,82755
2021-12-23 09:05,Yu-Peng Chen,Twilight Serenity - Genshin Impact Main Theme Var.,101554
2021-12-23 09:07,Yu-Peng Chen,Ripples of Daydream,83377
2021-12-23 09:08,Yu-Peng Chen,Once-Colored Memories,61998
2021-12-23 09:09,HOYO-MiX,Gion2,72703
2021-12-23 09:11,frad,The Girl I Have a Crush On,137483
2021-12-23 09:14,Jordy Chandra,After the Rain,147000
2021-12-23 09:16,M2U,Myosotis,154517
2021-12-23 09:20,LilyPichu,dreamy night,245876
2021-12-23 09:22,Yu-Peng Chen,Maiden's Longing,78780
2021-12-23 09:25,HOYO-MiX,"Moon Halo - Honkai Impact 3Rd ""Everlasting Flames"" Animated Short Theme",204054
2021-12-23 09:28,Chewie Melodies,Qingce Village,164348
2021-12-23 09:30,Jordy Chandra,Unspoken Words,120000
2021-12-23 09:32,Paintamelody,Lantern Rite (Xiao's Theme),111000
2021-12-23 09:33,Hai Lin,Wu Ji - Piano Ver.,83600
2021-12-23 09:35,Yu-Peng Chen,Adeptus' Solace,107958
2021-12-23 09:38,HOYO-MiX,Nightglow(instrumental),183250
2021-12-23 09:40,Chewie Melodies,Snowfall,104518
2021-12-23 09:42,Jordy Chandra,Do We Start to Like Each Other ?,146616
2021-12-23 09:45,Paintamelody,Missing You (Ellinia),147800
2021-12-23 09:47,Park Bird,Strawberry Jam Sandwich,122914
2021-12-23 09:48,Yu-Peng Chen,Pure Sky,65632
2021-12-23 09:52,Streaming Music Studios,"Always with Me (From ""Spirited Away"") [Piano Version]",235710
2021-12-23 09:53,HOYO-MiX,Domineer,79058
2021-12-23 09:54,Jordy Chandra,Winter Warmth,87428
2021-12-23 09:56,Paintamelody,The Queen of Summer on Narukami Island (Yoimiya's Theme),66951
2021-12-23 09:58,SuperDope,Qingyun Peak Sunrise ~ Genshin Impact Lofi,168082
2021-12-23 09:59,Yu-Peng Chen,Vague Whispers,64750
2021-12-23 10:02,LilyPichu,last cup of coffee,161636
2021-12-23 10:03,Beside Bed,Wandering in Peaceful Island (From Genshin Impact Golden Apple Archipelago Game),62702
2021-12-23 10:08,Joe Hisaishi,Merry-Go-Round of Life - from 'Howl's Moving Castle',311106
2021-12-23 10:10,Paintamelody,The Homeward Heron (Ayaka's Theme),98768
2021-12-23 10:12,Yu-Peng Chen,Lone Sojourner,50138
2021-12-23 10:12,Chewie Melodies,Wangshu Inn Daytime,94402
2021-12-23 10:15,Vincent Diamante,Waltzing in the Rain,156180
2021-12-23 10:16,Jordy Chandra,"Dragonspine Ballad (From ""Genshin Impact - Dragonspine"" Game)",75000
2021-12-23 10:19,frad,First Date,173143
2021-12-23 10:20,Paintamelody,Thawing Lullaby,66600
2021-12-23 10:23,Chewie Melodies,Dawn Winery Theme,152073
2021-12-23 10:24,Yu-Peng Chen,Adeptus' Retirement,58000
2021-12-23 10:26,SuperDope,Eula's Lullaby ~ Genshin Impact Lofi,98048
2021-12-23 10:27,Jordy Chandra,Guizhong's Lullaby (Guzheng),92160
2021-12-23 10:30,Eve,Ikanaide - album ver,195146
2021-12-23 10:33,Hiroyuki Sawano,Eye-Water,181413
2021-12-23 10:34,Paintamelody,Kim Mi So's Theme,64920
2021-12-23 10:35,Yu-Peng Chen,Gentle Rain,59500
2021-12-23 10:38,Chewie Melodies,Warm Sleep,140362
2021-12-23 10:42,Sakuzyo,Lost Memory,255157
2021-12-23 10:44,Jordy Chandra,Hope You Are Okay,115826
2021-12-23 10:46,Toby Fox,My Castle Town,127554
2021-12-23 10:50,Nobuo Uematsu,FFVII REMAKE: ティファのテーマ -セブンスヘブン- (Tifa's Theme - Seventh Heaven),246640
2021-12-23 10:52,Yu-Peng Chen,Clear Sky over Liyue,82927
2021-12-23 10:53,Yu-Peng Chen,Rex Incognito,108827
2021-12-23 10:55,Yu-Peng Chen,Another Hopeful Tomorrow,85783
2021-12-23 10:57,Jordy Chandra,Dragonspine Snow (LoFi),104000
2021-12-23 10:59,Chewie Melodies,Warm Dream,132523
2021-12-23 11:02,Joe Hisaishi,The Flower Garden,178506
2021-12-23 11:04,frad,moonbeam.,115200
2021-12-23 11:07,Park Bird,Are You Lost,167436
2021-12-23 11:09,Yu-Peng Chen,Fragile Fantasy,120900
2021-12-23 11:10,Jordy Chandra,Dragonspine Ballad (Piano Version),75000
2021-12-23 11:11,Chewie Melodies,Liyue Harbor (Mellow),95403
2021-12-23 11:16,Eve,Shinkai,266308
2021-12-23 11:17,Invadable Harmony,Once Upon a Dream,60413
2021-12-23 11:19,HOYO-MiX,Fantasy Note,105864
2021-12-23 11:20,Yu-Peng Chen,Snow-Buried Tales,91984
2021-12-23 11:22,Jordy Chandra,Melancholy Sunset,135000
2021-12-23 11:24,Chewie Melodies,Snowflake,75012
2021-12-23 11:25,Yu-Peng Chen,Moonlike Smile,77958
2021-12-23 11:27,Jordy Chandra,Guizhong's Lullaby (Piano Version),96000
2021-12-23 11:29,Chewie Melodies,Liyue Mountains,145969
2021-12-23 11:31,Steven Universe,"Escapism (feat. AJ Michalka, Zach Callison & Grace Rolek)",121501
2021-12-23 11:33,Invadable Harmony,Lament,120884
2021-12-23 11:37,HOYO-MiX,Moon Halo - Instrumental,204054
2021-12-23 11:38,Yu-Peng Chen,Tender Strength,82755
2021-12-23 11:40,Jordy Chandra,"Dragonspine Snow (From ""Genshin Impact - Dragonspine"" Game)",104000
2021-12-23 11:41,Chewie Melodies,Intertwine,102823
2021-12-23 11:42,Nobuo Uematsu,FFVII REMAKE: エアリスのテーマ -ただいま- (Aerith's Theme - Home Again),31302
2021-12-27 06:39,Chuck Berry,Run Rudolph Run,10794
2021-12-28 01:06,S.H.E,中国话,189300
2021-12-29 06:14,Hua Chen Yu,異類,75760
2021-12-29 06:33,Show Luo,撐腰,22100
2021-12-29 06:33,JJ Lin,不潮不用花錢,231560
2021-12-29 06:47,Mavis Fan,你的甜蜜,42943
2022-01-03 16:44,Yu-Peng Chen,Twilight Serenity - Genshin Impact Main Theme Var.,101554
2022-01-03 16:45,Yu-Peng Chen,Moonlike Smile,77958
2022-01-03 16:47,Yu-Peng Chen,Vast and Blue,142934
2022-01-03 16:49,Yu-Peng Chen,Ripples of Daydream,83377
2022-01-03 16:50,Yu-Peng Chen,A New Day with Hope,103237
2022-01-03 16:52,Yu-Peng Chen,Snow-Buried Tales,91984
2022-01-03 16:55,Yu-Peng Chen,Forlorn Child of Archaic Winds (Dvalin's Nest),199354
2022-01-03 16:57,Yu-Peng Chen,Fragile Fantasy,1403
2022-01-03 16:57,Yu-Peng Chen,Hanachirusato,94066
2022-01-03 16:58,Yu-Peng Chen,Fragile Fantasy,580
2022-01-03 16:59,Yu-Peng Chen,Hanachirusato,94066
2022-01-03 17:01,Yu-Peng Chen,Fragile Fantasy,120900
2022-01-03 17:03,Yu-Peng Chen,Lovers' Oath,79610
